GEOmeID,NAME,MedianIncome
0500000US21185,"Oldham County, Kentucky",119553
0500000US21199,"Pulaski County, Kentucky",55667
0500000US21227,"Warren County, Kentucky",61067
0500000US22005,"Ascension Parish, Louisiana",90190
0500000US22015,"Bossier Parish, Louisiana",71365
0500000US22017,"Caddo Parish, Louisiana",50375
0500000US22019,"Calcasieu Parish, Louisiana",63890
0500000US22033,"East Baton Rouge Parish, Louisiana",59443
0500000US22045,"Iberia Parish, Louisiana",53352
0500000US22051,"Jefferson Parish, Louisiana",61085
0500000US22055,"Lafayette Parish, Louisiana",63116
0500000US22057,"Lafourche Parish, Louisiana",55926
0500000US22063,"Livingston Parish, Louisiana",72725
0500000US22071,"Orleans Parish, Louisiana",55580
0500000US22073,"Ouachita Parish, Louisiana",52695
0500000US22079,"Rapides Parish, Louisiana",51301
0500000US22097,"St. Landry Parish, Louisiana",41393
0500000US22103,"St. Tammany Parish, Louisiana",76420
0500000US22105,"Tangipahoa Parish, Louisiana",54417
0500000US22109,"Terrebonne Parish, Louisiana",64084
0500000US23001,"Androscoggin County, Maine",63404
0500000US23003,"Aroostook County, Maine",57030
0500000US23005,"Cumberland County, Maine",98369
0500000US23011,"Kennebec County, Maine",64083
0500000US23019,"Penobscot County, Maine",66333
0500000US23031,"York County, Maine",86430
0500000US24001,"Allegany County, Maryland",54384
0500000US24003,"Anne Arundel County, Maryland",117650
0500000US24005,"Baltimore County, Maryland",87056
0500000US24009,"Calvert County, Maryland",126358
0500000US24013,"Carroll County, Maryland",114974
0500000US24015,"Cecil County, Maryland",90762
0500000US24017,"Charles County, Maryland",105087
0500000US24021,"Frederick County, Maryland",114360
0500000US24025,"Harford County, Maryland",105029
0500000US24027,"Howard County, Maryland",141159
0500000US24031,"Montgomery County, Maryland",125371
0500000US24033,"Prince George's County, Maryland",98027
0500000US24037,"St. Mary's County, Maryland",102282
0500000US24043,"Washington County, Maryland",71848
0500000US24045,"Wicomico County, Maryland",73834
0500000US24510,"Baltimore city, Maryland",59579
0500000US25001,"Barnstable County, Massachusetts",89893
0500000US25003,"Berkshire County, Massachusetts",77498
0500000US25005,"Bristol County, Massachusetts",81148
0500000US25009,"Essex County, Massachusetts",96874
0500000US25011,"Franklin County, Massachusetts",71296
0500000US25013,"Hampden County, Massachusetts",66997
0500000US25015,"Hampshire County, Massachusetts",79969
0500000US25017,"Middlesex County, Massachusetts",123705
0500000US25021,"Norfolk County, Massachusetts",123903
0500000US25023,"Plymouth County, Massachusetts",108742
0500000US25025,"Suffolk County, Massachusetts",93360
0500000US25027,"Worcester County, Massachusetts",94099
0500000US26005,"Allegan County, Michigan",78779
0500000US26017,"Bay County, Michigan",58675
0500000US26021,"Berrien County, Michigan",62460
0500000US26025,"Calhoun County, Michigan",57514
0500000US26037,"Clinton County, Michigan",92503
0500000US26045,"Eaton County, Michigan",71686
0500000US26049,"Genesee County, Michigan",60027
0500000US26055,"Grand Traverse County, Michigan",83650
0500000US26065,"Ingham County, Michigan",62998
0500000US26067,"Ionia County, Michigan",69951
0500000US26075,"Jackson County, Michigan",63338
0500000US26077,"Kalamazoo County, Michigan",67191
0500000US26081,"Kent County, Michigan",79756
0500000US26087,"Lapeer County, Michigan",68556
0500000US26091,"Lenawee County, Michigan",63952
0500000US26093,"Livingston County, Michigan",102508
0500000US26099,"Macomb County, Michigan",73807
0500000US26103,"Marquette County, Michigan",62115
0500000US26111,"Midland County, Michigan",73074
0500000US26115,"Monroe County, Michigan",71506
0500000US26117,"Montcalm County, Michigan",65331
0500000US26121,"Muskegon County, Michigan",61189
0500000US26125,"Oakland County, Michigan",92015
0500000US26139,"Ottawa County, Michigan",81513
0500000US26145,"Saginaw County, Michigan",59265
0500000US26147,"St. Clair County, Michigan",68513
0500000US26155,"Shiawassee County, Michigan",62093
0500000US26159,"Van Buren County, Michigan",66424
0500000US26161,"Washtenaw County, Michigan",83754
0500000US26163,"Wayne County, Michigan",57281
0500000US27003,"Anoka County, Minnesota",96812
0500000US27013,"Blue Earth County, Minnesota",66249
0500000US27019,"Carver County, Minnesota",129581
0500000US27027,"Clay County, Minnesota",70942
0500000US27035,"Crow Wing County, Minnesota",76050
0500000US27037,"Dakota County, Minnesota",99830
0500000US27053,"Hennepin County, Minnesota",93668
0500000US27109,"Olmsted County, Minnesota",87856
0500000US27123,"Ramsey County, Minnesota",77812
0500000US27131,"Rice County, Minnesota",81455
0500000US27137,"St. Louis County, Minnesota",67269
0500000US27139,"Scott County, Minnesota",106181
0500000US27141,"Sherburne County, Minnesota",101214
0500000US27145,"Stearns County, Minnesota",74709
0500000US27163,"Washington County, Minnesota",110729
0500000US27171,"Wright County, Minnesota",104269
0500000US28033,"DeSoto County, Mississippi",81486
0500000US28035,"Forrest County, Mississippi",52157
0500000US28047,"Harrison County, Mississippi",56159
0500000US28049,"Hinds County, Mississippi",50904
0500000US28059,"Jackson County, Mississippi",67472
0500000US28067,"Jones County, Mississippi",48503
0500000US28073,"Lamar County, Mississippi",59716
0500000US28075,"Lauderdale County, Mississippi",50542
0500000US28081,"Lee County, Mississippi",68233
0500000US28089,"Madison County, Mississippi",78784
0500000US28121,"Rankin County, Mississippi",69208
0500000US29019,"Boone County, Missouri",69218
0500000US29021,"Buchanan County, Missouri",60950
0500000US29031,"Cape Girardeau County, Missouri",68094
0500000US29037,"Cass County, Missouri",84774
0500000US29043,"Christian County, Missouri",80781
0500000US29047,"Clay County, Missouri",84378
0500000US29051,"Cole County, Missouri",74415
0500000US29071,"Franklin County, Missouri",68440
0500000US29077,"Greene County, Missouri",59499
0500000US29095,"Jackson County, Missouri",66055
0500000US29097,"Jasper County, Missouri",54109
0500000US29099,"Jefferson County, Missouri",81843
0500000US29165,"Platte County, Missouri",93091
0500000US29183,"St. Charles County, Missouri",98390
0500000US29187,"St. Francois County, Missouri",55042
0500000US29189,"St. Louis County, Missouri",81441
0500000US29510,"St. Louis city, Missouri",56245
0500000US30013,"Cascade County, Montana",66454
0500000US30029,"Flathead County, Montana",74274
0500000US30031,"Gallatin County, Montana",91158
0500000US30049,"Lewis and Clark County, Montana",77405
0500000US30063,"Missoula County, Montana",73429
0500000US30111,"Yellowstone County, Montana",68914
0500000US31055,"Douglas County, Nebraska",77457
0500000US31109,"Lancaster County, Nebraska",70637
0500000US31153,"Sarpy County, Nebraska",101932
0500000US32003,"Clark County, Nevada",75065
0500000US32031,"Washoe County, Nevada",84183
0500000US33001,"Belknap County, New Hampshire",97692
0500000US33005,"Cheshire County, New Hampshire",89314
0500000US33009,"Grafton County, New Hampshire",82059
0500000US33011,"Hillsborough County, New Hampshire",103727
0500000US33013,"Merrimack County, New Hampshire",92110
0500000US33015,"Rockingham County, New Hampshire",109770
0500000US33017,"Strafford County, New Hampshire",84869
0500000US34001,"Atlantic County, New Jersey",77053
